[exp196] psnr : 39.80923356517211, min: 38.052194254451564, max: 41.72272740580332 
[exp193] psnr : 39.81842694418199, min: 37.72915117072503, max: 41.651661383595304 
[exp193] psnr : 39.81842352945157, min: 37.72921561303249, max: 41.651661383595304 
[exp196] psnr : 39.656013923023046, min: 37.669747214342834, max: 41.68173829343151 
[exp196] psnr : 39.79230789368212, min: 37.754002538671756, max: 41.50732480232756 
[exp184] psnr : 39.623763010415395, min: 37.64023571141824, max: 41.83052637563654 
[exp197] psnr : 39.75727463077464, min: 37.7350707617544, max: 41.57843541810357 
[exp197] psnr : 39.96607159804405, min: 37.73466898196925, max: 41.92021776367565 
[exp197] psnr : 39.83150361058489, min: 37.64394159321436, max: 41.68572042742991 
[exp197] psnr : 39.863825695430016, min: 37.75836330992665, max: 41.61669407024017 
[exp197] psnr : 39.76085429304717, min: 37.69891113979766, max: 41.42549841887403 
[exp197] psnr : 39.68264218097047, min: 37.610031811207776, max: 41.40467515328012 
[exp197] psnr : 39.6960433692863, min: 37.57136723295132, max: 41.865258578356126 
[exp197] psnr : 39.60940508089387, min: 37.55006242343663, max: 41.99288594967961 
[exp197] psnr : 39.67361387007559, min: 37.611462842272324, max: 41.78728664575084 
[exp198] psnr : 39.79890035622922, min: 37.74965372920149, max: 41.93925986125826 
[exp198] psnr : 39.90807605804049, min: 37.77259918609259, max: 41.81738142525966 
[exp198] psnr : 39.908077704432905, min: 37.77259918609259, max: 41.817385296965604 
[exp199] psnr : 39.87891057359125, min: 37.929167449783364, max: 41.82794465516228 
[exp199] psnr : 39.86458904475346, min: 37.873818680560866, max: 41.693570234750666 
[exp199] psnr : 39.83688501611161, min: 37.72355890609142, max: 41.777267971597 
[exp199] psnr : 12.59832560152203, min: 37.584843450604914, max: 41.73796766183786 
[exp199] psnr : 38.918603503719275, min: 38.0173617382109, max: 41.49067914763245 
[exp199] psnr : 38.918606983668504, min: 38.0173617382109, max: 41.49066837423557 
[exp184] psnr : 38.58440125822344, min: 38.143715791518396, max: 41.46821374334842 
[exp199] psnr : 38.918599539229014, min: 38.0173719601446, max: 41.49066837423557 
[exp184] psnr : 38.584400656500584, min: 38.143660957912566, max: 41.46820540727039 
[exp200] psnr : 38.735928425404296, min: 38.08144157284246, max: 41.03220906389854 
[exp200] psnr : 38.76877205252143, min: 38.06111820790933, max: 41.076676447551506 
[exp200] psnr : 38.88226727453796, min: 38.102696585823246, max: 41.28006621529657 
[exp200] psnr : 38.882259301025734, min: 38.10272347081184, max: 41.28007305757886 
[exp200] psnr : 38.882265732190966, min: 38.10274651522025, max: 41.28007989987193 
[exp199] psnr : 38.91859435696571, min: 38.01735151630127, max: 41.49067914763245 
[exp199] psnr : 38.91859778086217, min: 38.0173617382109, max: 41.49066837423557 
[exp199] psnr : 38.91859881927474, min: 38.0173617382109, max: 41.49067914763245 
[exp199] psnr : 38.91860107204329, min: 38.01735151630127, max: 41.49067914763245 
[exp199] psnr : 38.91860494164752, min: 38.0173617382109, max: 41.49067914763245 
[exp199] psnr : 38.91859994190404, min: 38.01735151630127, max: 41.49066837423557 
[exp199] psnr : 38.91860043331557, min: 38.01735097830669, max: 41.49066837423557 
[exp199] psnr : 38.91860384388235, min: 38.01735151630127, max: 41.49067914763245 
[exp184] psnr : 38.58439933397479, min: 38.143660957912566, max: 41.46821374334842 
[exp184] psnr : 38.5844064743747, min: 38.14367757408365, max: 41.46821374334842 
[exp184] psnr : 38.58439974266017, min: 38.14364655728239, max: 41.46821374334842 
[exp184] psnr : 38.584398682540645, min: 38.143660957912566, max: 41.46820540727039 
[exp199] psnr : 38.91860535950239, min: 38.0173617382109, max: 41.49066837423557 
[exp200] psnr : 38.88226854459981, min: 38.102696585823246, max: 41.2800639345382 
[exp202] psnr : 38.95186622552961, min: 38.08756592255356, max: 41.36545474854243 
[exp202] psnr : 38.7633878903189, min: 37.947283791354394, max: 41.07192577067063 
[exp203] psnr : 38.56579134558694, min: 38.1822025691475, max: 41.288081351661745 
[exp203] psnr : 38.58766135611172, min: 38.09597124207539, max: 41.40331754097508 
